At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (b) (eV),Suffix,Uncertainty (c) (eV),References,
"=""107""","=""Bh XCVIII""","=""+97""","=""Bohrium""","=""Ne""","=""1s2.2s2.2p6""","=""1S0""","=""2p5 2P*<3/2>""","=""(""","=""35200""","="")""","=""400""","=""L8672c99""",
"=""107""","=""Bh XCIX""","=""+98""","=""Bohrium""","=""F""","=""1s2.2s2.2p5""","=""2P*<3/2>""","=""2p4 3P<2>""","=""(""","=""35700""","="")""","=""500""","=""L8672c99""",
"=""107""","=""Bh C""","=""+99""","=""Bohrium""","=""O""","=""1s2.2s2.2p4""","=""3P<2>""","=""2p2<1/2>.2p<3/2> (0,3/2)*<3/2>""","=""(""","=""36300""","="")""","=""500""","=""L8672c99""",
"=""107""","=""Bh CI""","=""+100""","=""Bohrium""","=""N""","=""1s2.2s2.2p3""","=""(0,3/2)*<3/2>""","=""2p2 3P<0>""","=""(""","=""36800""","="")""","=""500""","=""L8672c99""",
"=""107""","=""Bh CII""","=""+101""","=""Bohrium""","=""C""","=""1s2.2s2.2p2""","=""3P0""","=""2p 2P*<1/2>""","=""(""","=""46100""","="")""","=""500""","=""L8672c99""",
"=""107""","=""Bh CIII""","=""+102""","=""Bohrium""","=""B""","=""1s2.2s2.2p""","=""2P*<1/2>""","=""2s2 1S<0>""","=""(""","=""46900""","="")""","=""500""","=""L8672c99""",
"=""107""","=""Bh CIV""","=""+103""","=""Bohrium""","=""Be""","=""1s2.2s2""","=""1S0""","=""2s 2S<1/2>""","=""(""","=""47800""","="")""","=""500""","=""L8672c99""",
"=""107""","=""Bh CV""","=""+104""","=""Bohrium""","=""Li""","=""1s2.2s""","=""2S<1/2>""","=""1s2 1S<0>""","=""""","=""""","=""""","=""""","=""""",
"=""107""","=""Bh CVI""","=""+105""","=""Bohrium""","=""He""","=""1s2""","=""1S0""","=""1s 2S<1/2>""","=""(""","=""187260""","="")""","=""12""","=""u52""",
"=""107""","=""Bh CVII""","=""+106""","=""Bohrium""","=""H""","=""1s""","=""2S<1/2>""","=""""","=""(""","=""190329""","="")""","=""12""","=""L19200""",
Notes:
(a) Designations used in the ground shell lists:
     [Ne] = 1s2.2s2.2p6
     [Ar] = 1s2.2s2.2p6.3s2.3p6
     [Kr] = 1s2.2s2.2p6.3s2.3p6.3d10.4s2.4p6
     [Cd] = 1s2.2s2.2p6.3s2.3p6.3d10.4s2.4p6.4d10.5s2
     [Xe] = 1s2.2s2.2p6.3s2.3p6.3d10.4s2.4p6.4d10.5s2.5p6
     [Rn] = 1s2.2s2.2p6.3s2.3p6.3d10.4s2.4p6.4d10.5s2.5p6.4f14.5d10.6s2.6p6
(b) If the listed ionization energy is blank, it is unknown. Only the ground state is known.
(c) Uncertainties of some of the listed values are unknown. 
